Series Name,Series Code,Country Name,Country Code,2000 [YR2000],2005 [YR2005],2010 [YR2010],2013 [YR2013],2015 [YR2015]
GDP per capita (current US$),NY.GDP.PCAP.CD,Afghanistan,AFG,..,257.1756945,569.9407288,653.3474881,594.3230812
GDP per capita (current US$),NY.GDP.PCAP.CD,Albania,ALB,1175.788981,2709.142931,4094.358832,4412.345578,3945.217582
GDP per capita (current US$),NY.GDP.PCAP.CD,Algeria,DZA,1757.011974,3102.037384,4473.486446,5491.614414,4206.031232
GDP per capita (current US$),NY.GDP.PCAP.CD,American Samoa,ASM,..,..,..,..,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Andorra,ADO,21432.97646,39991.32507,39641.74601,42804.20264,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Angola,AGO,606.2722922,1576.162801,3886.479354,5327.148892,4101.472152
GDP per capita (current US$),NY.GDP.PCAP.CD,Antigua and Barbuda,ATG,10094.75906,12079.8657,13017.31039,13342.085,13714.73196
GDP per capita (current US$),NY.GDP.PCAP.CD,Argentina,ARG,7669.273709,5096.258332,10332.03237,13027.20482,13431.87834
GDP per capita (current US$),NY.GDP.PCAP.CD,Armenia,ARM,621.4248263,1625.407769,3124.784018,3716.828923,3489.12769
GDP per capita (current US$),NY.GDP.PCAP.CD,Aruba,ABW,20619.56585,23302.83199,24289.14152,..,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Australia,AUS,21665.11545,33982.95043,51845.65486,67652.68321,56310.96299
GDP per capita (current US$),NY.GDP.PCAP.CD,Austria,AUT,24517.26745,38242.04252,46659.84082,50504.71532,43774.98517
GDP per capita (current US$),NY.GDP.PCAP.CD,Azerbaijan,AZE,655.0974326,1578.36733,5842.805784,7811.621418,5496.34464
GDP per capita (current US$),NY.GDP.PCAP.CD,"Bahamas, The",BHS,21241.16539,23405.87955,21920.51659,22554.45412,22817.23086
GDP per capita (current US$),NY.GDP.PCAP.CD,Bahrain,BHR,13590.52105,18418.07267,20386.01756,24113.52484,22600.2141
GDP per capita (current US$),NY.GDP.PCAP.CD,Bangladesh,BGD,406.5317405,485.8528881,760.3319352,954.3963997,1211.701531
GDP per capita (current US$),NY.GDP.PCAP.CD,Barbados,BRB,11568.49594,14223.65813,15906.18932,15473.09806,15429.34046
GDP per capita (current US$),NY.GDP.PCAP.CD,Belarus,BLR,1273.049124,3126.367778,5818.854859,7722.123351,5740.456495
GDP per capita (current US$),NY.GDP.PCAP.CD,Belgium,BEL,23207.40591,36967.25918,44382.81899,46508.11872,40324.02777
GDP per capita (current US$),NY.GDP.PCAP.CD,Belize,BLZ,3364.464523,3933.30443,4348.019539,4723.594355,4878.721267
GDP per capita (current US$),NY.GDP.PCAP.CD,Benin,BEN,369.7008681,587.0802124,732.9536227,887.0899667,762.0512054
GDP per capita (current US$),NY.GDP.PCAP.CD,Bermuda,BMU,56284.16865,75882.03386,88207.32756,85748.06541,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Bhutan,BTN,778.391266,1257.54864,2201.293078,2383.04473,2655.998892
GDP per capita (current US$),NY.GDP.PCAP.CD,Bolivia,BOL,1007.002869,1046.427843,1981.166313,2948.032472,3076.791811
GDP per capita (current US$),NY.GDP.PCAP.CD,Bosnia and Herzegovina,BIH,1451.664002,2928.26359,4475.08813,4748.040692,4249.330313
GDP per capita (current US$),NY.GDP.PCAP.CD,Botswana,BWA,3333.17955,5327.853518,6243.998831,6806.658939,6360.13822
GDP per capita (current US$),NY.GDP.PCAP.CD,Brazil,BRA,3728.50801,4730.653468,11121.42095,12071.77799,8538.589975
GDP per capita (current US$),NY.GDP.PCAP.CD,British Virgin Islands,VGB,..,..,..,..,..
