Country Name,Year,GDP Per Capita (Current US$)
Afghanistan,2000,
Albania,2000,1175.788981
Algeria,2000,1757.011974
American Samoa,2000,
Andorra,2000,21432.97646
Angola,2000,606.2722922
Antigua and Barbuda,2000,10094.75906
Argentina,2000,7669.273709
Armenia,2000,621.4248263
Aruba,2000,20619.56585
Australia,2000,21665.11545
Austria,2000,24517.26745
Azerbaijan,2000,655.0974326
"Bahamas, The",2000,21241.16539
Bahrain,2000,13590.52105
Bangladesh,2000,406.5317405
Barbados,2000,11568.49594
Belarus,2000,1273.049124
Belgium,2000,23207.40591
Belize,2000,3364.464523
Benin,2000,369.7008681
Bermuda,2000,56284.16865
Bhutan,2000,778.391266
Bolivia,2000,1007.002869
Bosnia and Herzegovina,2000,1451.664002
Botswana,2000,3333.17955
Brazil,2000,3728.50801
British Virgin Islands,2000,
Brunei Darussalam,2000,18154.83493
Bulgaria,2000,1609.280586
Burkina Faso,2000,226.4759423
Burundi,2000,128.6355365
Cabo Verde,2000,1229.044456
Cambodia,2000,299.5622376
Cameroon,2000,583.0948382
Canada,2000,24124.16917
Cayman Islands,2000,
Central African Republic,2000,245.4343849
Chad,2000,166.0080155
Channel Islands,2000,43299.40114
Chile,2000,5229.177098
China,2000,959.3721081
Colombia,2000,2472.19777
Comoros,2000,372.1890022
"Congo, Dem. Rep.",2000,397.264871
"Congo, Rep.",2000,1035.584462
Costa Rica,2000,3808.356898
Cote d'Ivoire,2000,648.8107641
Croatia,2000,4919.628069
Cuba,2000,2749.463492
Curacao,2000,
Cyprus,2000,14672.88206
Czech Republic,2000,5994.528277
Denmark,2000,30743.55917
Djibouti,2000,762.8838243
Dominica,2000,4819.900039
Dominican Republic,2000,2802.419715
Ecuador,2000,1451.290776
"Egypt, Arab Rep.",2000,1461.018259
El Salvador,2000,2259.888269
Equatorial Guinea,2000,1970.251229
Eritrea,2000,199.8131951
Estonia,2000,4070.031904
Ethiopia,2000,124.0509505
Faroe Islands,2000,22850.44296
Fiji,2000,2076.013308
Finland,2000,24253.25042
France,2000,22465.64184
French Polynesia,2000,14530.22602
Gabon,2000,4115.036784
"Gambia, The",2000,637.1055215
Georgia,2000,691.9977101
Germany,2000,23718.7467
Ghana,2000,264.7025762
Gibraltar,2000,
Greece,2000,12042.95373
Greenland,2000,19004.00345
Grenada,2000,5117.539563
Guam,2000,
Guatemala,2000,1650.22565
Guinea,2000,340.414229
Guinea-Bissau,2000,281.4036603
Guyana,2000,960.1867601
Haiti,2000,462.4805442
Honduras,2000,1137.824518
"Hong Kong SAR, China",2000,25756.66378
Hungary,2000,4623.406712
Iceland,2000,31737.47061
India,2000,452.4135847
Indonesia,2000,780.0920781
"Iran, Islamic Rep.",2000,1664.26127
Iraq,2000,
Ireland,2000,26241.91849
Isle of Man,2000,20358.66729
Israel,2000,21052.10432
Italy,2000,20051.2426
Jamaica,2000,3448.448874
Japan,2000,38532.04088
Jordan,2000,1774.088393
Kazakhstan,2000,1229.000958
Kenya,2000,408.9818683
Kiribati,2000,796.7937634
"Korea, Dem. People’s Rep.",2000,
"Korea, Rep.",2000,11947.57725
Kosovo,2000,1087.762401
Kuwait,2000,19545.19345
Kyrgyz Republic,2000,279.6205233
Lao PDR,2000,324.0196947
Latvia,2000,3352.731296
Lebanon,2000,5334.880244
Lesotho,2000,478.0106195
Liberia,2000,182.9427573
Libya,2000,7170.379234
Liechtenstein,2000,74633.52872
Lithuania,2000,3297.354701
Luxembourg,2000,48317.66626
"Macao SAR, China",2000,14127.56667
"Macedonia, FYR",2000,1875.127132
Madagascar,2000,246.2826349
Malawi,2000,155.7643582
Malaysia,2000,4004.557191
Maldives,2000,2182.997011
Mali,2000,267.4164347
Malta,2000,11291.58423
Marshall Islands,2000,2126.832308
Mauritania,2000,477.1129881
Mauritius,2000,3861.032414
Mexico,2000,6649.716383
"Micronesia, Fed. Sts.",2000,2170.960626
Moldova,2000,354.0037319
Monaco,2000,82537.44647
Mongolia,2000,474.2129405
Montenegro,2000,1627.042893
Morocco,2000,1328.172963
Mozambique,2000,274.6562556
Myanmar,2000,186.8073255
Namibia,2000,2059.409015
Nauru,2000,
Nepal,2000,231.4329676
Netherlands,2000,25921.12794
New Caledonia,2000,12579.59511
New Zealand,2000,13641.10272
Nicaragua,2000,1016.021552
Niger,2000,160.2183423
Nigeria,2000,377.5002693
Northern Mariana Islands,2000,
Norway,2000,38146.71539
Oman,2000,8710.987805
Pakistan,2000,534.915837
Palau,2000,7786.586002
Panama,2000,4062.438603
Papua New Guinea,2000,655.2502302
Paraguay,2000,1545.625548
Peru,2000,1996.719997
Philippines,2000,1039.701796
Poland,2000,4492.727604
Portugal,2000,11502.39681
Puerto Rico,2000,16192.1296
Qatar,2000,29926.36335
Romania,2000,1668.162731
Russian Federation,2000,1771.586602
Rwanda,2000,216.2759036
Samoa,2000,1540.65373
San Marino,2000,28224.20286
Sao Tome and Principe,2000,
Saudi Arabia,2000,8808.875367
Senegal,2000,474.5771245
Serbia,2000,870.1365252
Seychelles,2000,7578.851053
Sierra Leone,2000,156.5918666
Singapore,2000,23792.60707
Sint Maarten (Dutch part),2000,
Slovak Republic,2000,5402.929754
Slovenia,2000,10227.73677
Solomon Islands,2000,1055.216749
Somalia,2000,
South Africa,2000,3099.131614
South Sudan,2000,
Spain,2000,14787.75606
Sri Lanka,2000,875.412178
St. Kitts and Nevis,2000,9223.756223
St. Lucia,2000,4975.472098
St. Martin (French part),2000,
St. Vincent and the Grenadines,2000,3672.669305
Sudan,2000,352.5015707
Suriname,2000,1855.77231
Swaziland,2000,1602.93246
Sweden,2000,29283.00505
Switzerland,2000,37813.23426
Syrian Arab Republic,2000,1181.719202
Tajikistan,2000,139.1091434
Tanzania,2000,308.4062816
Thailand,2000,2016.041015
Timor-Leste,2000,434.37974
Togo,2000,265.5016597
Tonga,2000,2067.085049
Trinidad and Tobago,2000,6430.967549
Tunisia,2000,2247.912995
Turkey,2000,4215.162413
Turkmenistan,2000,645.2771015
Turks and Caicos Islands,2000,
Tuvalu,2000,1458.971977
Uganda,2000,260.6844737
Ukraine,2000,635.7128467
United Arab Emirates,2000,34207.53895
United Kingdom,2000,27769.93125
United States,2000,36449.85512
Uruguay,2000,6871.903885
Uzbekistan,2000,558.221144
Vanuatu,2000,1469.888862
"Venezuela, RB",2000,4784.87158
Vietnam,2000,433.3337078
Virgin Islands (U.S.),2000,
West Bank and Gaza,2000,1476.171852
"Yemen, Rep.",2000,541.5129915
Zambia,2000,340.1613797
Zimbabwe,2000,535.1974215
Afghanistan,2005,257.1756945
Albania,2005,2709.142931
Algeria,2005,3102.037384
American Samoa,2005,
Andorra,2005,39991.32507
Angola,2005,1576.162801
Antigua and Barbuda,2005,12079.8657
Argentina,2005,5096.258332
Armenia,2005,1625.407769
Aruba,2005,23302.83199
Australia,2005,33982.95043
Austria,2005,38242.04252
Azerbaijan,2005,1578.36733
"Bahamas, The",2005,23405.87955
Bahrain,2005,18418.07267
Bangladesh,2005,485.8528881
Barbados,2005,14223.65813
Belarus,2005,3126.367778
Belgium,2005,36967.25918
Belize,2005,3933.30443
Benin,2005,587.0802124
Bermuda,2005,75882.03386
Bhutan,2005,1257.54864
Bolivia,2005,1046.427843
Bosnia and Herzegovina,2005,2928.26359
Botswana,2005,5327.853518
Brazil,2005,4730.653468
British Virgin Islands,2005,
Brunei Darussalam,2005,26337.91811
Bulgaria,2005,3852.977756
Burkina Faso,2005,406.673556
Burundi,2005,140.8151356
Cabo Verde,2005,2049.615979
