Country Name,Year,Total Population
Afghanistan,2000,19701940
Albania,2000,3089027
Algeria,2000,31183658
American Samoa,2000,57522
Andorra,2000,65399
Angola,2000,15058638
Antigua and Barbuda,2000,77648
Argentina,2000,37057453
Armenia,2000,3076098
Aruba,2000,90858
Australia,2000,19153000
Austria,2000,8011566
Azerbaijan,2000,8048600
"Bahamas, The",2000,297891
Bahrain,2000,666855
Bangladesh,2000,131280739
Barbados,2000,269838
Belarus,2000,10005000
Belgium,2000,10251250
Belize,2000,247312
Benin,2000,6949366
Bermuda,2000,61833
Bhutan,2000,564187
Bolivia,2000,8339512
Bosnia and Herzegovina,2000,3792878
Botswana,2000,1736579
Brazil,2000,175786441
British Virgin Islands,2000,20643
Brunei Darussalam,2000,330554
Bulgaria,2000,8170172
Burkina Faso,2000,11607944
Burundi,2000,6767073
Cabo Verde,2000,438737
Cambodia,2000,12197905
Cameroon,2000,15927713
Canada,2000,30769700
Cayman Islands,2000,41685
Central African Republic,2000,3726048
Chad,2000,8343321
Channel Islands,2000,148725
Chile,2000,15170387
China,2000,1262645000
Colombia,2000,40403959
Comoros,2000,547696
"Congo, Dem. Rep.",2000,48048664
"Congo, Rep.",2000,3109269
Costa Rica,2000,3925450
Cote d'Ivoire,2000,16517948
Croatia,2000,4426000
Cuba,2000,11116787
Curacao,2000,133860
Cyprus,2000,943287
Czech Republic,2000,10255063
Denmark,2000,5339616
Djibouti,2000,722562
Dominica,2000,69679
Dominican Republic,2000,8562623
Ecuador,2000,12628596
"Egypt, Arab Rep.",2000,68334905
El Salvador,2000,5811836
Equatorial Guinea,2000,530896
Eritrea,2000,3535156
Estonia,2000,1396985
Ethiopia,2000,66443603
Faroe Islands,2000,46491
Fiji,2000,811223
Finland,2000,5176209
France,2000,60912498
French Polynesia,2000,237267
Gabon,2000,1231548
"Gambia, The",2000,1228863
Georgia,2000,4418300
Germany,2000,82211508
Ghana,2000,18824994
Gibraltar,2000,27351
Greece,2000,10805808
Greenland,2000,56200
Grenada,2000,101620
Guam,2000,155328
Guatemala,2000,11688660
Guinea,2000,8799165
Guinea-Bissau,2000,1315455
Guyana,2000,742218
Haiti,2000,8549202
Honduras,2000,6243080
"Hong Kong SAR, China",2000,6665000
Hungary,2000,10210971
Iceland,2000,281205
India,2000,1053481072
Indonesia,2000,211540428
"Iran, Islamic Rep.",2000,65850062
Iraq,2000,23574751
Ireland,2000,3805174
Isle of Man,2000,76806
Israel,2000,6289000
Italy,2000,56942108
Jamaica,2000,2589389
Japan,2000,126843000
Jordan,2000,4767476
Kazakhstan,2000,14883626
Kenya,2000,31065820
Kiribati,2000,84406
"Korea, Dem. People’s Rep.",2000,22840218
"Korea, Rep.",2000,47008111
Kosovo,2000,1700000
Kuwait,2000,1929470
